,sum,sum,median,median,std,std,KS p-value
y,bot,non-bot,bot,non-bot,bot,non-bot,
authority,19.868822338331793,9.376226314831289,0.0566860418473265,0.0295520139961655,0.19061354612939518,0.0979224203631188,5.7986269862097905e-09
betweenness,25697846.829387248,4901050.743829824,30838.236440055538,179.87483471476946,518893.67193092126,163223.24529197323,1.7697219471431614e-19
closeness,25697846.829387248,4901050.743829824,30838.236440055538,179.87483471476946,518893.67193092126,163223.24529197323,1.7697219471431614e-19
constraint,17.936215246508535,73.17268257813502,0.060616398199313595,0.28608424299504664,0.20098898129795667,0.3561787005639631,4.44947178216146e-17
coreness,2680.0,1763.0,18.5,6.0,11.342556800441503,9.58915659850434,2.4045935268677375e-13
degree,12811.0,3888.0,32.5,7.0,160.23001151598893,61.69220770583683,7.363454072859405e-14
eccentricity,773.0,705.0,6.0,6.0,1.7625831459551713,3.360757762384871,2.3685753945658294e-09
harmonic_centrality,47.73679826692437,58.2981009070286,0.3440150226757185,0.32036989795917914,0.047130613743296086,0.02800544889442461,6.29783569643761e-12
hub_score,20.496611862881633,6.194744901656656,0.0479266046823497,0.0020461583011023,0.2136109530933601,0.1029417500717791,9.708611255104993e-16
local_clustering_coef,22.67315632840637,58.75196671000404,0.10859781665702714,0.4,0.1946304293126528,0.30612703043297895,5.7525137198480195e-21
nb_max_authority,84.01398631586741,56.814088619627874,0.7063313030317284,0.5495678338594276,0.29592078232430535,0.38471809048619676,7.221516362499586e-06
nb_max_betweenness,225692670.29540476,115963760.5578394,1555486.3351622398,1114323.7911173035,1464592.2125443725,1065774.8048117205,7.221516362499586e-06
nb_max_closeness,225692670.29540476,115963760.5578394,1555486.3351622398,1114323.7911173035,1464592.2125443725,1065774.8048117205,7.221516362499586e-06
nb_max_constraint,85.76081466343243,42.14930872674143,1.0,0.2769725614422098,0.36396904736665,0.29325152878847044,7.221516362499586e-06
nb_max_coreness,4245.0,2978.0,35.0,35.0,4.342958706064409,12.708177994824087,7.221516362499586e-06
nb_max_degree,72034.0,44345.0,448.0,401.0,377.4526540700385,344.08428423943525,7.221516362499586e-06
nb_max_eccentricity,897.0,768.0,7.0,7.0,0.8236817424850605,2.2026611739302044,2.4060887659417125e-07
nb_max_harmonic_centrality,55.948471412378005,46.59789034661655,0.4656235827664849,0.438458049886644,0.041520523742926085,0.06496688561962378,7.221516362499586e-06
nb_max_hub_score,88.10913741342051,61.13187040803763,0.7167490775988815,0.6166411706203965,0.30710304905610414,0.42582971649479895,3.896393758646184e-07
nb_max_local_clustering_coef,74.41489645835652,64.26788216500685,0.5238095238095238,0.6344086021505376,0.36778140199254195,0.3333871494570877,7.221516362499586e-06
nb_max_pagerank,0.8513034498444768,0.4710140770628727,0.0059118902226775,0.0042812004780505,0.004440760833380401,0.0036413058174539145,7.221516362499586e-06
nb_mean_authority,20.556315760972126,20.582298067153506,0.1526665185041373,0.1594918785073163,0.10748570238521027,0.15460658501763386,8.897951936741833e-10
nb_mean_authority_1,20.556315760972122,20.582298067153502,0.1526665185041373,0.1594918785073163,0.10748570238521028,0.15460658501763386,8.897951936741833e-10
nb_mean_authority_2,11.21546911047714,11.125395614104686,0.0857815095171795,0.0977891588233242,0.0386327833212045,0.05726392733132802,1.807455682499305e-08
nb_mean_authority_3,4.860612045905131,6.014720580652789,0.0351347413621162,0.0384313534651671,0.013689632302032087,0.037944288685696374,2.310555497448874e-10
nb_mean_authority_4,3.5664034458256015,4.006460459971675,0.0274192980609658,0.0282240064956956,0.006343026937138128,0.02137377144512026,3.7165515794237234e-15
nb_mean_betweenness,28088076.41387005,26230639.717782255,169866.5905039618,194777.2650781011,209859.2424916729,249640.07746250593,1.9306705195589994e-07
nb_mean_betweenness_1,28088076.41387005,26230639.717782255,169866.5905039618,194777.26507810107,209859.24249167292,249640.07746250596,1.9306705195589994e-07
nb_mean_betweenness_2,10743515.176528838,9675116.63206037,73537.22290764947,67222.3797584785,87718.80563023781,97830.37700164251,1.8300097918877326e-06
nb_mean_betweenness_3,2744764.8578907903,4244234.092579455,16988.2090647415,18504.63145018867,20407.650975478544,56663.772049042374,1.3253476040031681e-09
nb_mean_betweenness_4,1759753.363840118,2166858.4821204436,13118.195529625018,13295.805795344617,7351.617099951556,24234.91270752423,7.122951685125647e-11
