,sum,sum,median,median,std,std,KS p-value
y,bot,non-bot,bot,non-bot,bot,non-bot,
authority,29.688927293519406,10.154203818424001,0.1316502814836132,0.044237261726725555,0.21442087862091277,0.15417130397574147,3.3408250517411934e-07
betweenness,13525239.419347499,3274889.288401184,22455.41361427378,425.28276481594946,237469.01879896494,110619.14386138796,6.8019727745262185e-12
closeness,13525239.419347499,3274889.288401184,22455.41361427378,425.28276481594946,237469.01879896494,110619.14386138796,6.8019727745262185e-12
constraint,16.438063441528282,28.690958379062774,0.0458578439051503,0.20892343761709598,0.20787247038491988,0.2739714827284851,1.2862351282477052e-12
coreness,3042.0,1205.0,24.0,7.5,11.17018953860489,10.329933809950461,7.11681521692668e-11
degree,12297.0,3350.0,54.0,9.0,119.63716705645251,70.72296322053994,7.612985373359617e-12
eccentricity,802.0,532.0,6.0,6.0,1.1510084025456941,2.6722907108277125,0.0031271243421506366
harmonic_centrality,49.534951902494946,34.12569439198246,0.364132734003173,0.3224320717181738,0.04381740419616887,0.03796376139373446,1.9167885397740448e-10
hub_score,28.385333098817778,7.600233511785536,0.1350600245905766,0.0178738895672419,0.2104503180320759,0.16023394338668095,6.959752426002342e-12
local_clustering_coef,24.446840213479902,36.72387348871486,0.1442224688617585,0.3333333333333333,0.17500739615193764,0.2962593505062147,1.1857990320871225e-09
nb_max_authority,107.53261142238318,47.10185963540394,0.8973254930390933,0.6296696867327349,0.2324436376268776,0.33462669147848895,1.1598604650269086e-05
nb_max_betweenness,123678951.394588,47929240.716671444,846480.3619840072,488709.0846828884,608067.749790015,635092.2167758489,4.686281882282998e-08
nb_max_closeness,123678951.394588,47929240.716671444,846480.3619840072,488709.0846828884,608067.749790015,635092.2167758489,4.686281882282998e-08
nb_max_constraint,82.86620900035635,31.2192461012978,0.6165376186997806,0.2605808000266018,0.3824314684231812,0.34570531592911846,0.004855156960234758
nb_max_coreness,4388.0,2448.0,34.0,34.0,2.6699871673604814,9.474450230495908,0.10121298637451541
nb_max_degree,64217.0,28004.0,416.0,393.0,217.71416397007468,256.47264579854,1.059407591765126e-06
nb_max_eccentricity,922.0,553.0,7.0,7.0,0.6000587170329731,1.1073711832119206,0.10121298637451541
nb_max_harmonic_centrality,60.37083112991036,35.02797461660325,0.475987132028888,0.4388374757623492,0.032065361150324004,0.05473355194959392,0.0001355595646951529
nb_max_hub_score,103.93577396026856,48.00692113644367,0.8063302376889648,0.7056013175405327,0.22618537376013503,0.3326024320151344,0.0001355595646951529
nb_max_local_clustering_coef,74.89280237696164,39.10463265173743,0.5,0.3999999999999999,0.3620569466688452,0.33421194822009526,0.10121298637451541
nb_max_pagerank,1.183978462459654,0.4881625850677271,0.0080302700256824,0.0056048107607925,0.0042716969916942685,0.004884271181064105,4.455513808874464e-07
nb_mean_authority,33.40992473923507,19.875182371854304,0.2428501530983175,0.2044045669114231,0.1432639849434071,0.16958060755881785,0.027543881351232532
nb_mean_authority_1,33.409924739235066,19.875182371854304,0.2428501530983175,0.2044045669114231,0.14326398494340714,0.16958060755881788,0.027543881351232532
nb_mean_authority_2,13.42220300445758,11.433942235642807,0.0948022588910401,0.1363828149462629,0.038422622269216396,0.06323868989338206,1.1263598606244573e-10
nb_mean_authority_3,6.045516469256508,5.655380194145581,0.0417315773010878,0.0549824428584033,0.013158455845261822,0.04100521592222179,1.651544390241216e-11
nb_mean_authority_4,4.676743713590733,3.2487189900681734,0.0349910205412052,0.0362007642616552,0.0035041455202205578,0.01021691985008812,2.602016508075167e-13
nb_mean_betweenness,19553806.212769013,10212879.383936225,110905.67082028184,95458.56754605463,124668.66214056182,108435.69587741212,0.10121298637451541
nb_mean_betweenness_1,19553806.212769013,10212879.383936225,110905.67082028184,95458.5675460546,124668.66214056182,108435.69587741212,0.10121298637451541
nb_mean_betweenness_2,4744748.890137089,4517077.47939911,30267.72658499987,46087.18170730911,23204.5989231885,40396.02045075465,8.648223704580489e-10
nb_mean_betweenness_3,1585777.4450783697,1723128.9947717553,10512.10635846656,14307.457053791362,4936.4125265688335,19364.07458663141,4.21637198014611e-11
nb_mean_betweenness_4,1186890.8406150127,813329.770714042,8860.600721602159,9138.762976919665,1166.7472599115663,3722.8570157460786,8.791385767840289e-13
nb_mean_closeness,19553806.212769013,10212879.383936225,110905.67082028184,95458.56754605463,124668.66214056182,108435.69587741212,0.10121298637451541
nb_mean_closeness_1,19553806.212769013,10212879.383936225,110905.67082028184,95458.5675460546,124668.66214056182,108435.69587741212,0.10121298637451541
nb_mean_closeness_2,4744748.890137089,4517077.47939911,30267.72658499987,46087.18170730911,23204.5989231885,40396.02045075465,8.648223704580489e-10
nb_mean_closeness_3,1585777.4450783697,1723128.9947717553,10512.10635846656,14307.457053791362,4936.4125265688335,19364.07458663141,4.21637198014611e-11
nb_mean_closeness_4,1186890.8406150127,813329.770714042,8860.600721602159,9138.762976919665,1166.7472599115663,3722.8570157460786,8.791385767840289e-13
nb_mean_constraint,16.736312839230116,10.45497223667794,0.10875792842657,0.0939465343933736,0.0912298229896106,0.0986933921822014,0.011117485544158867
nb_mean_constraint_1,16.736312839230113,10.454972236677936,0.10875792842657,0.0939465343933736,0.0912298229896106,0.09869339218220141,0.011117485544158867
nb_mean_constraint_2,37.24549718984875,20.964886531854717,0.2745909071747683,0.2322483894981576,0.07175279540914471,0.09123312894094043,0.06080100786671525
nb_mean_constraint_3,60.47961160845918,32.53428644940144,0.4810328158390076,0.403145519064699,0.06124188607195543,0.09265204662805099,7.446253335266572e-06
nb_mean_constraint_4,69.57424472800099,42.053215579256666,0.5362370548943624,0.5243558309751556,0.02334344308405382,0.047976223094323124,1.5787026164831264e-06
nb_mean_coreness,2934.9844281912992,1768.2931069825229,23.18796992481203,22.0,5.855587080117212,8.26018771261063,0.00513910053733955
